MajorDepartment,MinorDepartment,MajorCategory,LongDescription,Pack,Size,Measure,ItemId,UPC,Flags
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,++CENTSIBLES KETCHUP,12,1,LT,668913,5731602011,VR
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,BODACIOUS KETCHUP,6,425,ML,6276273,85220400001,ROF
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,C. GOLD KETCHUP,12,1.5 ,LT,2448967,5731615065,R
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,C.GOLD KETCHUP,12,1,LT,309724,5731609764,VR
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,C.GOLD KETCHUP SQUEEZE,12,750,ML,909655,5731614037,VR
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,FODY KETCHUP,10,475,GR,6275929,62805575885,RF
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,FRCHS KETCHUP,12,1,LT,871491,5620092646,R
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,FRCHS KETCHUP SQUEEZE,12,750,ML,871533,5620092645,R
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,FRCHS KETCHUP TABLETOP,30,375,ML,2465573,5620095761,K
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,GOOD FOOD FOR GOOD KETCH,6,250,ML,851188,62784340263,CRF
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,GOOD FOOD FOR GOOD SPICY  KETCHUP,6,250,ML,858266,62784340264,CRF
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HEINZ KETCHUP BIG RED JUG PLASTIC,2,2.84,LT,636506,5700002324,
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HEINZ KETCHUP BULK - TINS,6,2.84,LT,352153,5700000324,R
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HEINZ KETCHUP GLASS,24,375,ML,830828,5700000317,
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HEINZ KETCHUP MEGAPK 26ML,1,396,PK,285718,5700030026,
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HEINZ KETCHUP PORTIONS 8ML,1,1000,PK,823179,5700000331,
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HEINZ KETCHUP PORTIONS 8ML,1,500,PK,868257,5700000328,
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HEINZ KETCHUP UPSIDE DOWN,24,375,ML,494500,5700024375,
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HEINZ KETCUHP VOL-PAK,1,11.3,LT,886499,5700000332,
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HUNTS KETCHUP,6,2.84,LT,999847,5880738303,
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HZ EASY SQUEEZE KETCHUP,12,750,ML,277947,5700001316,VR
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HZ KETCHUP,12,375,ML,772475,5700024376,R
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HZ KETCHUP 1LT,12,1,LT,488296,5700000299,VR
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HZ KETCHUP FAMILY SIZE,12,1.5 ,LT,932053,5700006308,R
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HZ KETCHUP NO SUGAR ADDED,12,750,ML,748392,5700003857,VR
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HZ KETCHUP ORG EASY SQZ,12,750,ML,142240,5700071253,R
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,HZ KETCHUP TWIN PACK,6,2.5 ,LT,932061,5700061328,R
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,KRAFT HEINZ EASY PUMPS,1,1,EA,364927,1300051103,G
1 - GROCERY,1 - CONDIMENTS,10 - KETCHUP,PC KETCHUP,2,4,LT,885483,6876101008,
