"Major Department","Minor Department","Major Category","Minor Category"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","130 - KETCHUP BODACIOUS 425ML"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","140 - KETCHUP FODY 475G"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","450 - KETCHUP-FRENCH'S 750ML-1LT"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","995 - KETCHUP-FOODSERVICE"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","455 - KETCHUP-GOOD FOOD FOR GOOD 250ML"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","996 - KETCHUP-FOODSERVICE PORTION"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","997 - KETCHUP-FOODSERVICE BULK"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","300 - KETCHUP-HEINZ 750ML-1LT"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","105 - KETCHUP-HEINZ 375ML"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","310 - KETCHUP-HEINZ 1.5LT"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","320 - KETCHUP-HEINZ ORGANIC"
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","315 - KETCHUP-HEINZ TWIN"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","995 - MUSTARD-FOODSERVICE"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","400 - MUSTARD-FRENCHS SPEC 325ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","215 - MUSTARD-FRENCHS SQUEEZE 225ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","210 - MUSTARD-FRENCHS SQUEEZE 400ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","205 - MUSTARD-FRENCHS SQUEEZE 550ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","255 - MUSTARD HEINZ-DIJON 265ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","250 - MUSTARD HEINZ 380ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","996 - MUSTARD-FOODSERVICE PORTION"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","405 - MUSTARD-MCCORMICK 100ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","510 - MUSTARD-MAILLE SPEC 200-235ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","500 - MUSTARD-MAILLE SPEC 200ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","505 - MUSTARD-MAILLE SPEC 500ML"
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","600 - MUSTARD-MISC OLD STYLE 375ML"
"1 - GROCERY",CONDIMENTS,"30 - RELISH","995 - RELISH-FOODSERVICE"
"1 - GROCERY",CONDIMENTS,"30 - RELISH","220 - RELISH-BICKS MISC"
"1 - GROCERY",CONDIMENTS,"30 - RELISH","200 - RELISH-BICKS 375ML"
"1 - GROCERY",CONDIMENTS,"30 - RELISH","500 - RELISH-STRUB'S 375ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","160 - AMAZING DADS BBQ SAUCE 500ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","300 - BBQ SAUCE-BULLS EYE 425ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","995 - BBQ SAUCE-FOODSERVICE"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","510 - BBQ SAUCE-CATTLE BOYZ 490ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","370 - BBQ SAUCE-LA GRILLE BASE 435ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","135 - FODY BBQ SAUCE 340GR"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","124 - GOOD FOOD FOR GOOD BBQ SAUCE 250ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","150 - BBQ SAUCE-HEINZ 550ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","200 - BBQ SAUCE-KRAFT 455ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","600 - BBQ SAUCE-MISC OLD STYLE 375ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","350 - BBQ SAUCE-ST HUBERT 398ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","555 - BBQ SAUCE-STUBB'S 450ML"
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","10 - BBQ SAUCE-SWEET BABY RAYS 425ML"
