"Major Department","Minor Department","Major Category","Minor Category",Item,UPC,"UPC Fixed",Description,"Case (LBS)","Landed Cost","Sale Price","Regular Price",Code,Stock,SKU,Category,Images,l,w,h,Pack,Size,Measure
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","130 - KETCHUP BODACIOUS 425ML",6276273,85220400001,852204000016,"BODACIOUS      KETCHUP GF",3.50,34.04,45.95,53.78,EDM,12,EDM6276273,"Bulk Foods & Wholesale Grocery>CONDIMENTS",,5.80,6.50,9.80,6,425,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","140 - KETCHUP FODY 475G",6275929,62805575885,628055758853,"FODY KETCHUP   GF",3.50,49.50,66.83,78.21,CAL,24,CAL6275929,"Bulk Foods & Wholesale Grocery>CONDIMENTS",,12.20,7.20,6.90,10,475,GR
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","450 - KETCHUP-FRENCH'S 750ML-1LT",871491,5620092646,056200926466,"FRCHS KETCHUP",33.22,39.30,53.06,62.09,EDM,114,EDM871491,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/871491/871491.jpg,13.10,11.80,9.30,12,1,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","450 - KETCHUP-FRENCH'S 750ML-1LT",871533,5620092645,056200926459,"FRCHS KETCHUP SQUEEZE",27.02,39.11,52.8,61.79,EDM,110,EDM871533,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/871533/871533.jpg,12.50,11.50,8.40,12,750,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","995 - KETCHUP-FOODSERVICE",2465573,5620095761,056200957613,"FRCHS KETCHUP TABLETOP",32.10,43.59,58.85,68.87,EDM,0,EDM2465573,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/2465573/2465573.jpg,18.20,12.00,6.80,30,375,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","455 - KETCHUP-GOOD FOOD FOR GOOD 250ML",851188,62784340263,627843402633,"GOOD FOOD FOR  GOOD KETCH  GF",18.09,32.93,44.46,52.03,CAL,74,CAL851188,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/851188/851188.jpg,12.00,12.00,6.50,6,250,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","455 - KETCHUP-GOOD FOOD FOR GOOD 250ML",858266,62784340264,627843402640,"GOOD FOOD FOR  GOOD SPICY KETCHP GF",18.09,32.93,44.46,52.03,CAL,58,CAL858266,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/858266/858266.jpg,12.00,12.00,6.50,6,250,ML
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","995 - KETCHUP-FOODSERVICE",636506,5700002324,057000023249,"HEINZ KETCHUP BIG RED JUG PLASTIC",15.50,17.25,23.29,27.26,EDM,19,EDM636506,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/636506/636506.jpg,11.70,6.90,7.60,2,2.84,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","995 - KETCHUP-FOODSERVICE",352153,5700000324,057000003241,"HEINZ KETCHUP BULK - TINS",48.00,47.29,63.84,74.72,EDM,63,EDM352153,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/352153/352153.jpg,18.70,12.40,7.20,6,2.84,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","995 - KETCHUP-FOODSERVICE",830828,5700000317,057000003173,"HEINZ KETCHUP GLASS",37.60,46.22,62.4,73.03,EDM,16,EDM830828,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/830828/830828.jpg,16.20,11.00,8.70,24,375,ML
