"Major Department","Minor Department","Major Category","Minor Category",Item,UPC,"UPC Fixed",Description,"Case (LBS)","Landed Cost","Sale Price","Regular Price",Code,Stock,SKU,Category,Images,l,w,h,Pack,Size,Measure
"1 - GROCERY",CLEANING,"31 - HOUSEHOLD CLEANERS","385 - HSE CLEAN WIPES-ALL CLEAN",6320758,,000000000000,"ALL CLEAN DISINFECT WIPES  90CT",26.40,19.03,25.69,30.07,CAL,0,CAL6320758,"Sanitation and janitorial>CLEANING::Restaurant & Commercial>CLEANING",,12.00,4.00,6.80,3,90,EA
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","300 - KETCHUP-HEINZ 750ML-1LT",488296,5700000299,057000002992,"HZ KETCHUP 1LT",32.74,52.65,71.08,83.19,EDM,115,EDM488296,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/488296/488296.jpg,12.80,11.90,10.20,12,1,LT
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","210 - MUSTARD-FRENCHS SQUEEZE 400ML",996991,5620076217,056200762170,"FRCHS PREP SQZE MUSTARD",16.20,33.78,45.6,53.37,EDM,253,EDM996991,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/996991/996991.jpg,13.90,8.20,7.20,16,400,ML
"1 - GROCERY",CONDIMENTS,"30 - RELISH","200 - RELISH-BICKS 375ML",436485,5900000477,059000004778,"BICKS SWEET GREEN RELISH",16.49,21.39,28.88,33.8,EDM,86,EDM436485,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/436485/436485.jpg,13.80,10.40,3.90,12,375,ML
"1 - GROCERY",CONDIMENTS,"40 - BBQ SAUCE","300 - BBQ SAUCE-BULLS EYE 425ML",477521,6810089102,068100891027,"BULLS EYE BBQ ORIG SAUCE",12.19,30.04,40.55,47.46,EDM,115,EDM477521,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/477521/477521.jpg,14.50,5.90,7.20,10,425,ML
"1 - GROCERY",CONDIMENTS,"50 - TOPPERS","100 - TOPPERS-FRENCH'S 140-170G",2456499,5620098896,056200988969,"FRCHS CRHY TOP ONIONS",4.40,33.09,44.67,52.28,EDM,0,EDM2456499,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/2456499/2456499.jpg,12.00,9.80,5.10,8,170,GR
"1 - GROCERY",CONDIMENTS,"60 - MEAT AND SEAFOOD SAUCES","540 - HOT SAUCE-FRANKS 354ML",613026,5620080502,056200805020,"FRNKS RH ORIG",17.21,47.24,63.77,74.64,EDM,217,EDM613026,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/613026/613026.jpg,11.20,8.30,8.30,12,354,ML
"1 - GROCERY",CONDIMENTS,"70 - GRAVY & DRY SAUCES","130 - GRAVY-CLUBHOUSE 21-42GR",832584,6620000493,066200004934,"CH BROWN GRAVY MIX",1.25,23.77,32.09,37.56,EDM,1068,EDM832584,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/832584/832584.jpg,5.00,4.20,6.20,18,25,GR
"1 - GROCERY",CONDIMENTS,"80 - BOULLION PRODUCTS","100 - BOULLION-OXO 16S REG",375709,6840016461,068400164616,"KNORR OXO BEEF BOUL SACH",3.63,32.55,43.94,51.43,EDM,45,EDM375709,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/375709/375709.jpg,11.30,10.30,3.80,14,16,EA
"1 - GROCERY",CLEANING,"21 - DISHWASHER PRODUCTS","400 - DISHWASHER-LIQ JET DRY 250ML",974824,5170036244,051700362448,"FINISH JET DRY RINSE ORIG",5.20,36.74,49.6,58.05,EDM,51,EDM974824,"Sanitation and janitorial>CLEANING::Restaurant & Commercial>CLEANING",https://test.tgp.crs/item_images/974824/974824.jpg,6.70,5.80,6.30,8,250,ML
